city,year,rank,nrank_less10lakh ,nrank_more10lakh,servicelevel,observation,feedback,total,certification,ulbcensuscode,district,state,bjp_ruled,wards,pop2011,nodalperson,awardcategory,asics2017rank,asics2017score,mayoralterm,electionmode,commtenure,commexp,mc,admin_type,zrankeast,zranknorth,zrankne,zrankwest,zranksouth,revenue,rev_per_capita,change,change_percent,Code
Kolkata,2019,NA,,,NA,NA,NA,NA,NA,NA,NA,West Bengal,0,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,0
Kolkata,2016,NA,,,NA,NA,NA,NA,NA,NA,NA,West Bengal,0,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,0
Kolkata,2017,NA,,,NA,NA,NA,NA,NA,NA,NA,West Bengal,0,NA,NA,NA,None,2,4.6,5,Indirect,1,65,,,NA,NA,NA,NA,NA,,,,,0
Kolkata,2018,NA,,,NA,NA,NA,NA,NA,NA,NA,West Bengal,0,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,0
Greater Mumbai,2016,10,,,789,442,303,1534,NA,802794,Mumbai,Maharashtra,1,227,12442373,Nodal Person,Leaders-BPC among Mega Cities,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,2.7107E+11,21786,-0.012375674,-1.237567357,1
Greater Mumbai,2017,29,,,823.08,412.54,299.48,1535.09,NA,802794,Mumbai,Maharashtra,1,227,12442373,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,2.67756E+11,21520,0.035615256,3.561525607,1
Greater Mumbai,2018,18,,,904,1071,1200,3175,NA,802794,Mumbai,Maharashtra,1,227,12442373,Nodal Person,Cleanest State Capital,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,2.77645E+11,22314,0.000948982,0.094898224,1
Greater Mumbai,2019,49,,,862,1116,849,3277,450,802794,Mumbai,Maharashtra,1,227,12442373,Nodal Person,Best CC/UT in IBP,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,2.77908E+11,22336,0.068064211,6.806421092,1
Greater Mumbai,2020,35,,35,938.88,907,960.51,3106.39,300,802794,Mumbai,Maharashtra,,227,12442373,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,2.98206E+11,23967,,,1
Bruhat Bengaluru Mahanagara Palike,2016,38,,,637,285,260,1182,NA,803162,Bangalore Urban,Karnataka,0,198,8495492,NA,Acceleration Required,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,47662738268,5610,,,
